 Information | Description 
 Date        | Mon Jan 05 2015 22:15:15 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:15 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:15 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:15 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:16 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:16 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:16 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:16 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:16 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:17 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:17 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:20 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:20 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:20 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:20 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:22 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:22 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:22 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:23 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:23 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:24 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:24 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:24 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:25 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:25 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:26 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:26 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:26 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:26 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:27 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:27 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:28 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:28 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:28 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:28 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:29 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:29 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:29 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:29 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:29 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:30 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:31 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:31 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:31 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:32 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:33 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:34 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:35 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:35 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:36 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:38 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:43 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:43 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:43 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:45 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:46 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:15:46 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:04 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:04 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:38 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:38 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:39 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:40 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:16:41 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:18 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
 Message     | Uncaught TypeError: Object #<error> has no method 'indexOf'

 Information | Description 
-------------|-----------------------------
 Type        | Error
 Date        | Mon Jan 05 2015 22:17:19 GMT+0800 (CST)
 File        | file:///js/codemirror.min.js
 Line Number | 8
